MUN,LOC,REFUGIO,FECHA_OP,VAMP,VAMP_TX,LATITUD,LONG
Luvianos,Magadan,Piedra bola,17/10/05,1,1,18.933442,-100.370000
Luvianos,Magadan,Piedra bola,11/09/07,11,10,18.933442,-100.370000
Luvianos,Magadan,Piedra bola,27/03/08,2,2,18.933442,-100.370000
Luvianos,Magadan,Piedra bola,18/08/08,6,6,18.933442,-100.370000
Luvianos,Magadan,Piedra bola,22/12/08,9,9,18.933442,-100.370000
Luvianos,Magadan,Piedra bola,03/06/09,7,7,18.933442,-100.370000
Luvianos,Magadan,Piedra bola,10/06/09,2,2,18.933442,-100.370000
Luvianos,Magadan,Piedra bola,05/11/10,5,4,18.933442,-100.370000
Luvianos,Magadan,Piedra bola,14/05/12,4,3,18.933442,-100.370000
Luvianos,Puerto del Capulin,Mina el capulÌn,28/08/12,0,0,18.949167,-100.335833
Luvianos,Ceiba Obscura (PeÒa del Aguila),La ceiba,11/05/05,1,1,18.968569,-100.403333
Luvianos,Ceiba Obscura (PeÒa del Aguila),La ceiba,30/11/05,0,0,18.968569,-100.403333
Luvianos,Ceiba Obscura (PeÒa del Aguila),La ceiba,04/09/06,1,1,18.968569,-100.403333
Luvianos,Ceiba Obscura (PeÒa del Aguila),La ceiba,21/04/08,2,2,18.968569,-100.403333
Luvianos,Hilamache,Cueva el risco ,17/08/13,6,6,19.002697,-100.317447
Temascaltepec,Potrero de Tenayac,Cueva los guacos,22/11/12,0,0,19.035294,-100.202469
Zacazonapan,La alcantarilla,Cueva la Alcantarilla,02/08/13,4,4,19.067133,-100.233450
Zacazonapan,Zacazonapan,La Alcantarilla de Zacazonapan,22/05/14,5,5,19.067453,-100.233347
Zacazonapan,Alcantarilla,Alcantarilla de zacazonapan,17/07/12,4,2,19.071417,-100.233389
Santo Tomas,Salitre Bramador,Mina el marmol,18/02/13,7,7,19.151069,-100.267658
Santo Tomas,Salitre Bramador,Mina el marmol,27/07/13,4,4,19.151069,-100.267442
Santo Tomas,Salitre Bramador,Mina el marmol,26/09/14,12,12,19.151069,-100.267442
Santo Tomas,El Salitre Bramador,Min el oro,25/10/12,6,4,19.156528,-100.272917
Santo Tomas,Santa Barbara,Mina pinto real,19/01/06,6,6,19.169000,-100.290389
Santo Tomas,Santa Barbara,Mina pinto real,08/02/07,10,9,19.169000,-100.290389
Santo Tomas,Santa Barbara,Mina pinto real,04/09/08,6,5,19.169000,-100.290389
Santo Tomas,Santa Barbara,Mina pinto real,09/06/09,10,9,19.169000,-100.290389
Santo Tomas,Santa Barbara,Mina pinto real,03/10/11,5,4,19.169000,-100.290389
Santo Tomas,Santa Barbara,Zacazonapan,17/07/12,4,2,19.169000,-100.290389
Santo Tomas,Santa Barbara,Mina el pito real,11/10/12,4,3,19.169000,-100.284039
Santo Tomas,Santa Barbara,Mina el pito real,26/07/13,12,12,19.169000,-100.284039
Santo Tomas,Santa Barbara,Mina el pito real,26/09/14,14,14,19.169000,-100.284039
